Date,Actual_PnL,Historical_VaR_95,Historical_VaR_99,VC_VaR_95,VC_VaR_99,MC_VaR_95,MC_VaR_99,Hist_Breach_95,VC_Breach_95,MC_Breach_95,Hist_Breach_99,VC_Breach_99,MC_Breach_99
2019-01-02,11387.943907869281,25892.201765279144,37710.992041339094,23478.255571236114,33287.60671911079,23852.181928185008,32850.554480509374,False,False,False,False,False,False
2019-01-03,-45594.160078875175,25892.201765279144,37710.992041339094,23478.121840312106,33295.765672602276,23836.402584564767,32845.39815838349,True,True,True,True,True,True
2019-01-04,42699.53979175352,26579.53912807973,40019.72809434682,24151.76776420798,34161.88037560918,24494.787631304967,33543.15568620822,False,False,False,False,False,False
2019-01-07,7313.350815546282,26579.53912807973,40019.72809434682,24403.5283326876,34576.94349919822,24737.83029114554,33961.25012499771,False,False,False,False,False,False
2019-01-08,10842.417722968112,26579.53912807973,40019.72809434682,24395.51547218814,34572.93587236687,24733.09330817578,33928.06302595843,False,False,False,False,False,False
2019-01-09,8035.472352680063,26579.53912807973,40019.72809434682,24381.72682005849,34569.45453607094,24716.554198299193,33924.97053640388,False,False,False,False,False,False
2019-01-10,-1177.0112263490064,26579.53912807973,40019.72809434682,24365.125803446026,34558.43200562562,24715.279392612105,33915.482293750654,False,False,False,False,False,False
2019-01-11,-7638.035423880618,26579.53912807973,40019.72809434682,24389.021977507233,34576.58348558362,24733.01196582379,33929.96098488292,False,False,False,False,False,False
2019-01-14,-6578.354837839406,26579.53912807973,40019.72809434682,24445.569623688494,34619.91359054637,24800.94157053331,33975.30116354199,False,False,False,False,False,False
2019-01-15,19133.2802934447,26579.53912807973,40019.72809434682,24453.96192139933,34629.701113247764,24794.38169196655,33981.11238827035,False,False,False,False,False,False
2019-01-16,6844.758113488324,26579.53912807973,40019.72809434682,24475.82945707287,34676.52435976151,24833.952461839403,34050.224117205056,False,False,False,False,False,False
2019-01-17,5801.483266537976,26579.53912807973,40019.72809434682,24455.992503332713,34660.72659677689,24819.362900387736,34027.45336648706,False,False,False,False,False,False
2019-01-18,9480.83000985571,26579.53912807973,40019.72809434682,24429.5067185511,34636.58167075965,24791.69225884549,34004.17562521001,False,False,False,False,False,False
2019-01-22,-22526.341149537195,26579.53912807973,40019.72809434682,24429.50338015904,34636.52054987028,24780.092710147597,34005.37915466361,False,False,False,False,False,False
2019-01-23,1900.8635653234408,26579.53912807973,40019.72809434682,24648.82116520129,34899.88348006597,24990.79983094779,34272.17356265367,False,False,False,False,False,False
2019-01-24,-949.2094169290307,26579.53912807973,40019.72809434682,24629.40304074621,34880.0451349091,24970.292858781475,34242.65087317182,False,False,False,False,False,False
2019-01-25,15138.855840250166,26579.53912807973,40019.72809434682,24625.78199742068,34876.217719804925,24951.20964283581,34266.25908803373,False,False,False,False,False,False
2019-01-28,-9670.07531147005,26579.53912807973,40019.72809434682,24633.41586275885,34896.93802071779,24970.6834226431,34252.411674629344,False,False,False,False,False,False
2019-01-29,-10411.408349166406,26579.53912807973,40019.72809434682,24660.393766806264,34929.14042086958,24985.457867343095,34324.11688900655,False,False,False,False,False,False
2019-01-30,37215.50463409618,26579.53912807973,40019.72809434682,24701.91818249938,34978.54321709534,25042.291886386764,34361.89743115364,False,False,False,False,False,False
2019-01-31,5504.795195032053,26579.53912807973,40019.72809434682,24870.813480289184,35265.521966909604,25222.1811634435,34621.763689823696,False,False,False,False,False,False
2019-02-01,-6851.372875434053,26579.53912807973,40019.72809434682,24835.878866920702,35231.59067200537,25105.766859024585,34661.66250853059,False,False,False,False,False,False
2019-02-04,12251.082625346819,26579.53912807973,40019.72809434682,24660.502988334025,35010.802086151976,25058.128545553747,35078.99009999017,False,False,False,False,False,False
2019-02-05,11016.02719851834,25892.201765279144,40019.72809434682,24179.952945561836,34413.41428969619,24429.373678063734,33885.079596632204,False,False,False,False,False,False
2019-02-06,-4549.065336687381,25892.201765279144,40019.72809434682,24094.12010921565,34261.67905558334,24315.966627707552,33687.47703852624,False,False,False,False,False,False
2019-02-07,-13691.820580907333,25892.201765279144,40019.72809434682,24013.400505410547,34163.515086796324,24328.753659122485,33543.453406124914,False,False,False,False,False,False
2019-02-08,-4065.995162748448,24997.02638745279,40019.72809434682,23674.860595395534,33721.43300838244,23941.370434294062,33153.19121355103,False,False,False,False,False,False
2019-02-11,-2675.1644354423174,24997.02638745279,40019.72809434682,23713.663877669987,33748.67795900607,24070.95429903567,33187.107524437444,False,False,False,False,False,False
2019-02-12,16873.43020786487,24997.02638745279,40019.72809434682,23690.887471638274,33670.569371751364,24037.363124572254,33119.0994440625,False,False,False,False,False,False
2019-02-13,1530.4624728152971,24997.02638745279,40019.72809434682,23703.85876466219,33701.52758175416,23979.597306017888,33256.112734836046,False,False,False,False,False,False
2019-02-14,-2157.010950027483,24997.02638745279,40019.72809434682,23700.190799039443,33669.068353930204,23951.40234509817,33230.32610551751,False,False,False,False,False,False
2019-02-15,8317.188294691812,24997.02638745279,40019.72809434682,23721.681035737067,33671.11202863059,24044.021676247306,33183.50099876192,False,False,False,False,False,False
2019-02-19,3572.527840364053,24997.02638745279,40019.72809434682,23678.917853032293,33632.0642231353,23936.63225708605,33160.74629811083,False,False,False,False,False,False
2019-02-20,2022.4641391376474,24997.02638745279,40019.72809434682,23672.269014552086,33626.28903689654,24045.27286772545,33234.857697431005,False,False,False,False,False,False
2019-02-21,-628.2232586723721,24997.02638745279,40019.72809434682,23654.348770878274,33607.996737792,24017.982059560756,33323.96305512584,False,False,False,False,False,False
2019-02-22,7250.50127326432,24997.02638745279,40019.72809434682,23671.83295356647,33623.71924832295,23998.441211121244,33192.02226494697,False,False,False,False,False,False
2019-02-25,5448.097090819414,24997.02638745279,40019.72809434682,23653.488541740433,33579.36886389038,23990.849338967528,33151.77081583099,False,False,False,False,False,False
2019-02-26,402.60884988130283,24997.02638745279,40019.72809434682,23645.51225592887,33550.51621759074,23990.65127819013,33234.46324287126,False,False,False,False,False,False
2019-02-27,2546.4941552872433,24997.02638745279,40019.72809434682,23587.303048829377,33483.977987945895,23827.40019445401,32971.42961412334,False,False,False,False,False,False
2019-02-28,-5643.540931849349,24997.02638745279,40019.72809434682,23533.172618530723,33424.32354289018,23822.209893455423,32970.6121751379,False,False,False,False,False,False
2019-03-01,9688.690161584767,24997.02638745279,40019.72809434682,23462.13106100927,33337.51945229121,23742.047384772533,32876.939916113944,False,False,False,False,False,False
2019-03-04,4194.4544278159365,24997.02638745279,40019.72809434682,23455.671755809955,33338.1228678448,23734.096362052904,32880.05128041132,False,False,False,False,False,False
2019-03-05,-2112.944781415582,24997.02638745279,40019.72809434682,23461.25367825,33337.05205047684,23743.120429033508,32888.91082498255,False,False,False,False,False,False
2019-03-06,-6885.1260053661435,24997.02638745279,40019.72809434682,23475.282208687382,33351.61543396487,23760.888599637237,32905.78071578377,False,False,False,False,False,False
2019-03-07,-10232.046311880005,24997.02638745279,40019.72809434682,23485.046314873496,33363.107775830416,23743.18836110351,32926.3505416988,False,False,False,False,False,False
2019-03-08,-1831.6453982545775,24997.02638745279,40019.72809434682,23566.023643618602,33452.711127279734,23816.13372545511,32997.341037447164,False,False,False,False,False,False
2019-03-11,23752.83488447523,24997.02638745279,40019.72809434682,23571.864947440863,33427.05845460888,23908.61731759575,33047.740116248024,False,False,False,False,False,False
2019-03-12,4537.265236294119,24997.02638745279,40019.72809434682,23619.758307132975,33523.4670908998,23976.93552683706,33152.45920875603,False,False,False,False,False,False
2019-03-13,6609.500068468598,24997.02638745279,40019.72809434682,23526.619428475722,33418.54441019606,23801.205259938015,32954.8823846647,False,False,False,False,False,False
2019-03-14,4228.299773016553,24997.02638745279,40019.72809434682,23467.21230370949,33357.39866494723,23762.60193952778,32921.14372005078,False,False,False,False,False,False
2019-03-15,10487.27058304374,24997.02638745279,40019.72809434682,23460.928651150327,33352.26244625636,23752.50690914885,32898.36186022996,False,False,False,False,False,False
2019-03-18,11631.897275211835,24997.02638745279,40019.72809434682,23442.02794374914,33342.87107436179,23734.817605602468,32877.13123761849,False,False,False,False,False,False
2019-03-19,-1129.8872921520817,24997.02638745279,40019.72809434682,23317.527032678954,33209.6185832172,23612.98119523407,32748.704259423088,False,False,False,False,False,False
2019-03-20,3041.542263376395,24997.02638745279,40019.72809434682,23339.159446365047,33229.166248728325,23629.296767546213,32807.66728366761,False,False,False,False,False,False
2019-03-21,14652.153557565262,24997.02638745279,40019.72809434682,23293.753985860043,33180.142574282145,23576.094754210535,32678.636028446268,False,False,False,False,False,False
2019-03-22,-24607.100279475966,24997.02638745279,40019.72809434682,23034.513594545613,32878.711384471855,23300.983989104585,32266.948589313222,False,True,True,False,False,False
